ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,predicted
0x162b,CUS_0xb891,June,Jasond,55,#F%$D@*&8,_______,30689.89,2612.490833,2,5,4,1,Not Specified,5,6,-3.01,4.0,_,632.46,27.44542179,17 Years and 8 Months,No,16.41545166,84.95284817,High_spent_Small_value_payments,419.8807835,Standard,Standard
0x162c,CUS_0xb891,July,Jasond,55,072-31-6145,Entrepreneur,30689.89,2612.490833,2,5,4,1,Not Specified,5,,1.99,4.0,Good,632.46,26.05639528,17 Years and 9 Months,No,16.41545166,71.28367488,Low_spent_Large_value_payments,443.5499568,Standard,Standard
0x162d,CUS_0xb891,August,Jasond,55,072-31-6145,Entrepreneur,30689.89,2612.490833,2,5,4,-100,Not Specified,4,9,1.99,4.0,Good,632.46,27.33251493,17 Years and 10 Months,No,16.41545166,125.6172505,High_spent_Small_value_payments,379.2163811,Standard,Standard
0x1632,CUS_0x1cdb,January,Deepaa,21,615-06-7821,Developer,35547.71_,2853.309167,7,5,5,0,,5,,2.58,4.0,Standard,943.86,39.79776423,30 Years and 8 Months,Yes,0.0,276.7253943,!@9#%8,288.6055223,Standard,Standard
0x1633,CUS_0x1cdb,February,Deepaa,21,615-06-7821,Developer,35547.71,,7,5,5,0,,9,,2.58,4.0,Standard,943.86,27.02036025,30 Years and 9 Months,NM,0.0,74.44364105,High_spent_Medium_value_payments,460.8872756,Standard,Standard
0x1634,CUS_0x1cdb,March,Deepaa,21,615-06-7821,Developer,35547.71,2853.309167,7,5,5,-100,,5,12,2.58,4.0,Standard,943.86,23.46230304,30 Years and 10 Months,Yes,0.0,173.138651,Low_spent_Medium_value_payments,392.1922657,Standard,Standard
0x1635,CUS_0x1cdb,April,Deepaa,21,615-06-7821,Developer,35547.71,2853.309167,7,5,5,0,,1,15,2.58,4.0,_,943.86,28.92495378,30 Years and 11 Months,Yes,0.0,96.78548509,High_spent_Medium_value_payments,438.5454316,Standard,Standard
0x1636,CUS_0x1cdb,May,Deepaa,21,615-06-7821,Developer,35547.71,2853.309167,7,5,5,0,,9,17,2.58,4.0,_,943.86,41.77618715,31 Years and 0 Months,Yes,0.0,62.72327834,High_spent_Small_value_payments,482.6076383,Standard,Standard
0x1637,CUS_0x1cdb,June,Deepaa,21,615-06-7821,Developer,35547.71,,7,5,5,0_,,5,15,2.58,4.0,Standard,943.86,29.21755633,31 Years and 1 Months,Yes,0.0,37.64363789,High_spent_Medium_value_payments,497.6872788,Standard,Standard
0x1638,CUS_0x1cdb,July,Deepaa,21,615-06-7821,Developer,35547.71,2853.309167,7,5,5,0,,10,15,2.58,4.0,Standard,943.86,26.26382269,31 Years and 2 Months,Yes,0.0,181.0119827,Low_spent_Small_value_payments,394.3189339,Standard,Standard
0x1639,CUS_0x1cdb,August,Deepaa,21,615-06-7821,Developer,35547.71,2853.309167,7,5,5,-100,,1,15,2.58,4.0,Standard,943.86,25.86292247,31 Years and 3 Months,Yes,0.0,181.330901,High_spent_Small_value_payments,364.0000157,Standard,Standard
0x163e,CUS_0x95ee,January,Np,31,612-70-8987,Lawyer,73928.46,,4,1288,8,0,,12,10,10.14,2.0,Good,548.2,39.96268501,,No,15015.0,98.67440994,High_spent_Large_value_payments,740.1960901,Good,Good
0x163f,CUS_0x95ee,February,Np,31,612-70-8987,_______,73928.46,5988.705,4,5,8,0,,8,7,10.14,2.0,Good,548.2,42.7698644,32 Years and 0 Months,NM,0.0,172.9392145,Low_spent_Medium_value_payments,705.9312855,Good,Good
0x1640,CUS_0x95ee,March,Np,31,612-70-8987,Lawyer,73928.46,5988.705,4,5,8,0,,8,7,10.14,2.0,Good,548.2,40.71218653,,No,0.0,150.0597343,High_spent_Medium_value_payments,698.8107657,Good,Good
0x1641,CUS_0x95ee,April,Np,31,612-70-8987,Lawyer,73928.46,5988.705,4,5,8,0,,8,7,10.14,2.0,Good,548.2,30.20165771,32 Years and 2 Months,No,0.0,618.2023913,Low_spent_Small_value_payments,270.6681087,Good,Good
0x1642,CUS_0x95ee,May,Np,31,612-70-8987,Lawyer,73928.46,5988.705,4,5,5318,0,,11,7,10.14,2.0,_,548.2,26.33331043,32 Years and 3 Months,No,0.0,177.9518357,Low_spent_Large_value_payments,690.9186643,Good,Good
0x1643,CUS_0x95ee,June,Np,31,612-70-8987,Lawyer,73928.46,5988.705,4,5,8,0,,7,7,10.14,2.0,Good,548.2,35.27543652,,No,15515.0,235.790325,Low_spent_Large_value_payments,633.080175,Good,Good
0x1644,CUS_0x95ee,July,Np,31,612-70-8987,Lawyer,73928.46,5988.705,4,5,8,0,,8,4,9.14,2.0,_,548.2,36.62479126,32 Years and 5 Months,No,0.0,348.5093995,High_spent_Small_value_payments,510.3611005,Standard,Standard
0x1645,CUS_0x95ee,August,Np,31,612-70-8987,Lawyer,73928.46,5988.705,4,5,8,0,,8,7,10.14,,Good,548.2,31.58098967,32 Years and 6 Months,No,0.0,42.63559025,!@9#%8,796.2349097,Good,Good
0x164a,CUS_0x284a,January,Nadiaq,33,411-51-0676,Lawyer,131313.4,11242.78333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,9.34,2.0,Good,352.16,32.200509,30 Years and 7 Months,NM,137.6446054,378.1712535,High_spent_Medium_value_payments,858.4624744,Good,Good
0x164b,CUS_0x284a,February,Nadiaq,34,411-51-0676,Lawyer,131313.4,11242.78333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",-1,2,15.34,4.0,Good,352.16,31.98371001,30 Years and 8 Months,No,137.6446054,698.8732707,High_spent_Small_value_payments,547.7604572,Good,Good
0x164c,CUS_0x284a,March,Nadiaq,34,411-51-0676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,3,9.34,4.0,Good,352.16,31.8031345,30 Years and 9 Months,NM,911.2201793,188.0643211,High_spent_Large_value_payments,1038.569407,Good,Good
0x164d,CUS_0x284a,April,Nadiaq,34,#F%$D@*&8,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,8.34,4.0,Good,352.16,42.6457849,30 Years and 10 Months,No,23834.0,337.4349563,High_spent_Medium_value_payments,899.1987716,Good,Good
0x164e,CUS_0x284a,May,Nadiaq,34,411-51-0676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,4,9.34,4.0,Good,352.16,40.90251715,30 Years and 11 Months,No,32662.0,263.3789089,High_spent_Large_value_payments,963.254819,Good,Good
0x164f,CUS_0x284a,June,Nadiaq,34,411-51-0676,Lawyer,131313.4,,0,1,8,-100,"Credit-Builder Loan, and Mortgage Loan",0,3_,11.34,4.0,Good,352.16,41.98016961,31 Years and 0 Months,No,911.2201793,86.56638801,High_spent_Large_value_payments,1140.06734,Standard,Standard
0x1650,CUS_0x284a,July,Nadiaq,34_,#F%$D@*&8,Lawyer,10909427,,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2_,9.34,4.0,Good,352.16,26.94756515,31 Years and 1 Months,No,911.2201793,930.3918978,!@9#%8,326.2418302,Good,Good
0x1651,CUS_0x284a,August,Nadiaq,34,411-51-0676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",0,2,9.34,4.0,Good,352.16,29.18791265,31 Years and 2 Months,No,911.2201793,870.5223817,Low_spent_Medium_value_payments,396.1113462,Good,Good
0x1656,CUS_0x5407,January,Annk,7580,500-92-6408,Media_Manager,34081.38_,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5.0,Standard,1704.18,24.44806275,,NM,70.47833267,162.4410092,Low_spent_Large_value_payments,298.1921581,Poor,Poor
0x1657,CUS_0x5407,February,Annk,30,500-92-6408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,5.0,_,1704.18,35.17116002,14 Years and 8 Months,Yes,70.47833267,38.43698276,High_spent_Large_value_payments,392.1961846,Poor,Poor
0x1658,CUS_0x5407,March,Annk,30_,500-92-6408,Media_Manager,34081.38,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",31,14,17.13,5.0,Standard,1704.18,35.11155247,14 Years and 9 Months,Yes,70.47833267,199.7207655,Low_spent_Large_value_payments,260.9124018,Poor,Poor
0x1659,CUS_0x5407,April,Annk,30,500-92-6408,_______,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",34,14,21.13,5.0,_,1704.18,29.76215931,14 Years and 10 Months,Yes,70.47833267,220.5521919,Low_spent_Small_value_payments,260.0809754,Poor,Poor
0x165a,CUS_0x5407,May,Annk,30,500-92-6408,_______,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",27,14,17.13,5.0,_,1704.18,30.20621422,14 Years and 11 Months,Yes,70.47833267,,High_spent_Large_value_payments,397.2283547,Standard,Standard
0x165b,CUS_0x5407,June,Annk,30,500-92-6408,Media_Manager,34081.38,2611.115,8,7,15,-100,"Not Specified, Auto Loan, and Student Loan",30,14,18.13,5.0,Standard,1704.18,31.17087232,15 Years and 0 Months,Yes,70.47833267,,!@9#%8,410.6743661,Standard,Standard
0x165c,CUS_0x5407,July,Annk,30,500-92-6408,Media_Manager,34081.38,,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5.0,Standard,1704.18,38.43850508,15 Years and 1 Months,NM,70.47833267,55.45978064,High_spent_Small_value_payments,395.1733867,Standard,Standard
0x165d,CUS_0x5407,August,Annk,30,500-92-6408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,9.0,_,1704.18,33.82348834,15 Years and 2 Months,Yes,70.47833267,29.32636371,High_spent_Medium_value_payments,411.3068036,Poor,Poor
0x1662,CUS_0x4157,January,,23,070-19-1622,Doctor,114838.41,9843.8675,2,5,7,-100,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,11,8.24,3.0,Good,1377.74,33.66455429,21 Years and 4 Months,No,226.8927919,215.1935159,High_spent_Small_value_payments,802.3004421,Good,Good
0x1663,CUS_0x4157,February,Charlie Zhur,23,070-19-1622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",14,8,_,3.0,Good,1377.74,27.62632549,21 Years and 5 Months,NM,226.8927919,212.2356022,High_spent_Large_value_payments,785.2583559,Good,Good
0x1664,CUS_0x4157,March,Charlie Zhur,23,070-19-1622,Doctor,114838.41_,,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,_,3.0,Good,1377.74,35.1415673,21 Years and 6 Months,NM,226.8927919,470.3857957,High_spent_Small_value_payments,547.1081624,Good,Standard
0x1665,CUS_0x4157,April,Charlie Zhur,23,070-19-1622,Doctor,114838.41,,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,14,8.24,8.0,Good,1377.74,30.45903184,21 Years and 7 Months,No,226.8927919,225.0820495,!@9#%8,772.4119086,Good,Good
0x1666,CUS_0x4157,May,Charlie Zhur,23,070-19-1622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,11.24,8.0,Good,1377.74,29.81918663,21 Years and 8 Months,No,226.8927919,649.8093642,High_spent_Small_value_payments,367.6845939,Standard,Good
0x1667,CUS_0x4157,June,Charlie Zhur,24,070-19-1622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",13,14,8.24,8.0,_,1377.74,26.11421387,21 Years and 9 Months,NM,226.8927919,546.3805705,!@9#%8,491.1133876,Good,Good
0x1668,CUS_0x4157,July,Charlie Zhur,24,070-19-1622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,,8.24,8.0,Good,1377.74,31.76751565,21 Years and 10 Months,No,226.8927919,215.4682977,High_spent_Medium_value_payments,792.0256603,Good,Good
0x1669,CUS_0x4157,August,Charlie Zhur,24_,070-19-1622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,8.24,8.0,Good,1377.74,27.81335364,21 Years and 11 Months,No,226.8927919,254.5717672,High_spent_Large_value_payments,742.9221908,Standard,Standard
0x166e,CUS_0xba08,January,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333,0,5,12,2,"Not Specified, and Payday Loan",4,0,5.76,2.0,Good,421.43,29.51935256,,NM,46.61612907,154.3527811,High_spent_Small_value_payments,341.5544232,Good,Good
0x166f,CUS_0xba08,February,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",2,0,-1.24,2.0,Good,421.43,28.22048096,26 Years and 6 Months,No,46.61612907,298.7444693,Low_spent_Small_value_payments,227.1627349,Good,Good
0x1670,CUS_0xba08,March,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",-2,0,1.76,5.0,Good,421.43,31.04641791,26 Years and 7 Months,No,46.61612907,140.820696,Low_spent_Medium_value_payments,375.0865083,Good,Good
0x1671,CUS_0xba08,April,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5.0,_,421.43,30.1680304,26 Years and 8 Months,No,46.61612907,233.6055264,Low_spent_Small_value_payments,292.3016778,Good,Good
0x1672,CUS_0xba08,May,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5.0,_,421.43,25.18923173,26 Years and 9 Months,No,16415.0,184.7005716,Low_spent_Small_value_payments,341.2066326,Good,Good
0x1673,CUS_0xba08,June,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5.0,Good,421.43,25.50246855,,No,46.61612907,137.7174249,Low_spent_Medium_value_payments,378.1897794,Good,Good
0x1674,CUS_0xba08,July,Jamesj,45,366-68-1681,Journalist,31370.8,2825.233333,1,6,12,-100,"Not Specified, and Payday Loan",-1,2,5.76,5.0,Good,421.43,22.76220217,26 Years and 11 Months,No,46.61612907,188.3949005,Low_spent_Small_value_payments,337.5123038,Good,Good
0x1675,CUS_0xba08,August,Jamesj,45,366-68-1681,Journalist,31370.8,,1,6,12,2,"Not Specified, and Payday Loan",-2,2,5.76,5.0,_,421.43,37.56505277,27 Years and 0 Months,No,46.61612907,252.6448272,Low_spent_Small_value_payments,273.2623771,Good,Good
0x167a,CUS_0xa66b,January,,40,221-30-8554,Teacher,33751.27,2948.605833,5,5,20,3_,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,4.0,Standard,1328.93,37.08907565,19 Years and 2 Months,NM,65.00817429,117.3066971,High_spent_Medium_value_payments,362.5457119,Standard,Standard
0x167b,CUS_0xa66b,February,Saphirj,40,221-30-8554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,4.0,Standard,1328.93,30.90808063,19 Years and 3 Months,Yes,65.00817429,70.13107792,High_spent_Large_value_payments,399.7213311,Standard,Poor
0x167c,CUS_0xa66b,March,Saphirj,40,221-30-8554,_______,33751.27,,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8.0,Standard,1328.93,38.03072168,19 Years and 4 Months,Yes,65.00817429,270.1825822,Low_spent_Large_value_payments,229.6698268,Standard,Poor
0x167d,CUS_0xa66b,April,Saphirj,40,221-30-8554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",17,22,11,8.0,Standard,1328.93,23.40441278,19 Years and 5 Months,Yes,65.00817429,25.19256191,High_spent_Large_value_payments,444.6598471,Standard,Standard
0x167e,CUS_0xa66b,May,Saphirj,40,221-30-8554,Teacher,33751.27,2948.605833,5,5,20,3_,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,8,8.0,Standard,1328.93,29.07375818,19 Years and 6 Months,Yes,65.00817429,243.3296848,Low_spent_Small_value_payments,276.5227243,Standard,Standard
0x167f,CUS_0xa66b,June,Saphirj,40,221-30-8554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8.0,Standard,1328.93,32.78263673,19 Years and 7 Months,Yes,65.00817429,72.86008181,High_spent_Medium_value_payments,406.9923272,Standard,Poor
0x1680,CUS_0xa66b,July,Saphirj,40,221-30-8554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11,8.0,Standard,1328.93,35.58400505,19 Years and 8 Months,Yes,65.00817429,35.42716954,!@9#%8,444.4252395,Standard,Standard
0x1681,CUS_0xa66b,August,Saphirj,41,221-30-8554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,17,11,8.0,Standard,1328.93_,31.13948358,,Yes,65.00817429,25.96961191,High_spent_Large_value_payments,443.8827971,Standard,Standard
0x1686,CUS_0xc0ab,January,Soyoungd,32,342-90-2649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",-1,0,3.51,3.0,Good,950.36,28.21061721,25 Years and 5 Months,No,135.173371,98.93176402,High_spent_Large_value_payments,732.5635317,Standard,Standard
0x1687,CUS_0xc0ab,February,Soyoungd,33_,342-90-2649,Engineer,88640.24,7266.686667,3,6,433,2,"Payday Loan, and Payday Loan",4,2,3.51,3.0,Good,950.36,41.03616828,25 Years and 6 Months,NM,135.173371,157.1747883,High_spent_Large_value_payments,674.3205074,Good,Good
0x1688,CUS_0xc0ab,March,Soyoungd,33,342-90-2649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",4,0,3.51,3.0,Good,950.36,34.67019438,25 Years and 7 Months,No,135.173371,298.1889115,High_spent_Medium_value_payments,543.3063842,Standard,Good
